*red*,<font color=red>
*blue*,<font color=blue>
*black*,<font color=black>
*purple*,<font color=purple>
*white*,<font color=white>
*yellow*,<font color=yellow>
*orange*,<font color=orange>
*green*,<font color=green>
:),☺
:(,☹
*check*,✔
*yinyang*,☯
*down*,↓
*left*,←
*right*,→
*up*,↑
*phone*,☎
*skull*,☠
*radio*,☢
*bio*,☣
*peace*,☮
*spade*,♠
*heart*,♥
*diamond*,♦
*club*,♣
*plane*,✈
*x*,✖
1/2,½
1/4,¼
*R*,ℜ
*N*,ℵ
*tflip*, 	(╯°□°）╯︵ ┻━┻
1$,[̲̅$̲̅(̲̅1̲̅)̲̅$̲̅]
5$,[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅]
100$,[̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅]
200$,[̲̅$̲̅(̲̅2οο̲̅)̲̅$̲̅]
*big*,<font size=30>
*B*,ℬ
*P*,℘
*sniper*,︻デ┳═ー 
o_o, 	◕_◕ 
*pistols*,̿' ̿'\\̵͇̿̿\\з=(◕_◕)=ε/̵͇̿̿/'̿'̿ ̿ 
x.x,(✖╭╮✖)
*barcode*,║▌║█║▌│║▌║▌█
*sing*,d(^o^)b¸¸♬·¯·♩¸¸♪·¯·♫¸¸
*cards*,[♥]]][♦]]][♣]]][♠]]]
*sa*,<font size=20 color=black>🂡</font>
*s2*,<font size=20 color=black>🂢</font>
*s3*,<font size=20 color=black>🂣</font>
*s4*,<font size=20 color=black>🂤</font>
*s5*,<font size=20 color=black>🂥</font>
*s6*,<font size=20 color=black>🂦</font>
*s7*,<font size=20 color=black>🂧</font>
*s8*,<font size=20 color=black>🂨</font>
*s9*,<font size=20 color=black>🂩</font>
*s10*,<font size=20 color=black>🂪</font>
*sj*,<font size=20 color=black>🂫</font>
*sq*,<font size=20 color=black>🂭</font>
*sk*,<font size=20 color=black>🂮</font>
*ca*,<font size=20 color=black>🃑</font>
*c2*,<font size=20 color=black>🃒</font>
*c3*,<font size=20 color=black>🃓</font>
*c4*,<font size=20 color=black>🃔</font>
*c5*,<font size=20 color=black>🃕</font>
*c6*,<font size=20 color=black>🃖</font>
*c7*,<font size=20 color=black>🃗</font>
*c8*,<font size=20 color=black>🃘</font>
*c9*,<font size=20 color=black>🃙</font>
*c10*,<font size=20 color=black>🃚</font>
*cj*,<font size=20 color=black>🃛</font>
*cq*,<font size=20 color=black>🃝</font>
*ck*,<font size=20 color=black>🃞</font>
*ha*,<font size=20 color=red>🂱</font>
*h2*,<font size=20 color=red>🂲</font>
*h3*,<font size=20 color=red>🂳</font>
*h4*,<font size=20 color=red>🂴</font>
*h5*,<font size=20 color=red>🂴</font>
*h6*,<font size=20 color=red>🂶</font>
*h7*,<font size=20 color=red>🂷</font>
*h8*,<font size=20 color=red>🂸</font>
*h9*,<font size=20 color=red>🂹</font>
*h10*,<font size=20 color=red>🂺</font>
*hj*,<font size=20 color=red>🂻</font>
*hq*,<font size=20 color=red>🂽</font>
*hk*,<font size=20 color=red>🂾</font>
*da*,<font size=20 color=red>🃁</font>
*d2*,<font size=20 color=red>🃂</font>
*d3*,<font size=20 color=red>🃃</font>
*d4*,<font size=20 color=red>🃄</font>
*d5*,<font size=20 color=red>🃅</font>
*d6*,<font size=20 color=red>🃆</font>
*d7*,<font size=20 color=red>🃇</font>
*d8*,<font size=20 color=red>🃈</font>
*d9*,<font size=20 color=red>🃉</font>
*d10*,<font size=20 color=red>🃊</font>
*dj*,<font size=20 color=red>🃋</font>
*dq*,<font size=20 color=red>🃍</font>
*dk*,<font size=20 color=red>🃎</font>
*cardback*,<font size=20>🂠</font>
*bjoker*,<font size=20 color=black>🃏</font>
*rjoker*,<font size=20 color=red>🃟</font>
*fish*,¸.·´¯`·.´¯`·.¸¸.·´¯`·.¸><(((º>
*0p*,▒▒▒▒▒▒▒▒▒▒
*10p*,█▒▒▒▒▒▒▒▒▒
*20p*,██▒▒▒▒▒▒▒▒
*30p*,███▒▒▒▒▒▒▒
*40p*,████▒▒▒▒▒▒
*50p*,█████▒▒▒▒▒
*60p*,██████▒▒▒▒
*70p*,███████▒▒▒
*80p*,████████▒▒
*90p*,█████████▒
*100p*,██████████
*plane2*,‛¯¯٭٭¯¯(▫▫)¯¯٭٭¯¯’
*yuno*,(ლಠ益ಠ)﻿ლ
*butterfly*,.•°*”˜˜”*°•.ƸӜƷ
*scissors*,<font size=15>✌</font>
*paper*,<font size=15>✋</font>
*rock*,<font size=15>✊</font>
*mute*,𝄥
